Weapon/Item, Heat, Damage, Range, Ammo, WT, M, P, CV, SV, F, SC, DS, TechRating, PageRef
MML 3 (LRM), 2 (2), 1/Msl (2), 6/7/14/21 (Long), 40, 1.5, 2, NA, 1, 2, 1, 1, 1, E, 229
MML 3 (SRM), 2 (2), 2/Msl (4), 0/3/6/9 (Short), 33, 1.5, 2, NA, 1, 2, 1, 1, 1, E, 229
MML 5 (LRM), 3 (3), 1/Msl (3), 6/7/14/21 (Long), 24, 3, 3, NA, 1, 3, 1, 1, 1, E, 229
MML 5 (SRM), 3 (3), 2/Msl (6), 0/3/6/9 (Short), 20, 3, 3, NA, 1, 3, 1, 1, 1, E, 229
MML 7 (LRM), 4 (4), 1/Msl (4), 6/7/14/21 (Long), 17, 4.5, 4, NA, 1, 4, 1, 1, 1, E, 229
MML 7 (SRM), 4 (4), 2/Msl (8), 0/3/6/9 (Short), 14, 4.5, 4, NA, 1, 4, 1, 1, 1, E, 229
MML 9 (LRM), 5 (5), 1/Msl (5), 6/7/14/21 (Long), 13, 6, 5, NA, 1, 5, 1, 1, 1, E, 229
MML 9 (SRM), 5 (5), 2/Msl (10), 0/3/6/9 (Short), 11, 6, 5, NA, 1, 5, 1, 1, 1, E, 229
MML 3 (LRM)+Art. IV, 2 (2), 1/Msl (2), 6/7/14/21 (Long), 40, 2.5, 3, NA, 1, 3, 1, 1, 1, E, 206/229
MML 3 (SRM)+Art. IV, 2 (2), 2/Msl (4), 0/3/6/9 (Short), 33, 2.5, 3, NA, 1, 3, 1, 1, 1, E, 206/229
MML 5 (LRM)+Art. IV, 3 (3), 1/Msl (4), 6/7/14/21 (Long), 24, 4, 4, NA, 1, 4, 1, 1, 1, E, 206/229
MML 5 (SRM)+Art. IV, 3 (3), 2/Msl (8), 0/3/6/9 (Short), 20, 4, 4, NA, 1, 4, 1, 1, 1, E, 206/229
MML 7 (LRM)+Art. IV, 4 (4), 1/Msl (6), 6/7/14/21 (Long), 17, 5.5, 5, NA, 1, 5, 1, 1, 1, E, 206/229
MML 7 (SRM)+Art. IV, 4 (4), 2/Msl (12), 0/3/6/9 (Short), 14, 5.5, 5, NA, 1, 5, 1, 1, 1, E, 206/229
MML 9 (LRM)+Art. IV, 5 (5), 1/Msl (7), 6/7/14/21 (Long), 13, 7, 6, NA, 1, 6, 1, 1, 1, E, 206/229
MML 9 (SRM)+Art. IV, 5 (5), 2/Msl (14), 0/3/6/9 (Short), 11, 7, 6, NA, 1, 6, 1, 1, 1, E, 206/229
SRM 2 + Artemis IV, 2 (2), 2/Msl (4), 0/3/6/9 (Short), 50, 2, 2, NA, 1, 2, 1, 1, 1, E, 206/229
SRM 4 + Artemis IV, 3 (3), 2/Msl (6), 0/3/6/9 (Short), 25, 3, 2, NA, 1, 2, 1, 1, 1, E, 206/229
SRM 6 + Artemis IV, 4 (4), 2/Msl (10), 0/3/6/9 (Short), 15, 4, 3, NA, 1, 3, 1, 1, 1, E, 206/229
MRM 10, 4 (4), 1/Msl (6), 0/3/8/15 (Medium), 24, 3, 2, NA, 1, 2, 1, 1, 1, C, 229
MRM 20, 6 (6), 1/Msl (12), 0/3/8/15 (Medium), 12, 7, 3, NA, 1, 3, 1, 1, 1, C, 229
MRM 30, 10 (10), 1/Msl (18), 0/3/8/15 (Medium), 8, 10, 5, NA, 1, 5, 1, 1, 1, C, 229
MRM 40, 12 (12), 1/Msl (24), 0/3/8/15 (Medium), 6, 12, 7, NA, 1, 7, 1, 1, 1, C, 229
Rocket Launcher 10, 3 (3), 1/Msl (6), 0/5/11/18 (Medium), OS, 0.5, 1, NA, 1, 1, 1, 1, 1, B, 229
Rocket Launcher 15, 4 (4), 1/Msl (9), 0/4/9/15 (Medium), OS, 1, 2, NA, 1, 2, 1, 1, 1, B, 229
Rocket Launcher 20, 5 (5), 1/Msl (12), 0/3/7/12 (Medium), OS, 1.5, 3, NA, 1, 3, 1, 1, 1, B, 229
Streak SRM 2, 2 (2), 2/Msl (4), 0/3/6/9 (Short), 50, 1.5, 1, NA, 1, 1, 1, 1, 1, E, 230
Streak SRM 4, 3 (3), 2/Msl (8), 0/3/6/9 (Short), 25, 3, 1, NA, 1, 1, 1, 1, 1, E, 230
Streak SRM 6, 4 (4), 2/Msl (12), 0/3/6/9 (Short), 15, 4.5, 2, NA, 1, 2, 1, 1, 1, E, 230
A-Pods, 0 (NA), **, ** (NA), OS, 0.5, 1, NA, 1, 1, NA, NA, NA, B, 204
B-Pods, 0 (NA), **, ** (NA), OS, 1, 1, NA, 1, 1, NA, NA, NA, E, 204
Anti-Missile System, 1 (1), **, ** (Point Defense), 12, 0.5, 1, NA, 1, 1, 1, 1, 1, E, 204
Beagle Active Probe, 0 (0), NA, 0/0/0/4, (**) NA, 1.5, 2, NA, 1, 2, 1, 1, 1, E, 204
CASE, 0 (0), NA (NA), NA (NA), NA, 0.5, 1, NA, 1, 1, 0, NA, NA, D, 210
C3 Computer (Master), 0 (NA), NA (NA), NA (NA), NA, 5, 5*, NA, 1, 1*, NA, NA, NA, E, 209
C3 Computer (Slave), 0 (NA), NA (NA), NA (NA), NA, 1, 1*, NA, 1, 1*, NA, NA, NA, E, 209
Improved C3 Computer, 0 (NA), NA (NA), NA (NA), NA, 2.5, 2*, NA, 1, 1*, NA, NA, NA, E, 209
Guardian ECM Suite, 0 (0), NA, 0/0/0/6, (**) NA, 1.5, 2, NA, 1, 2, 1, 1, 1, E, 213
Machine Gun Array, NA, **, **, (**) **, +0.5, 1, NA, 1, 1, 1, 1, 1, E, 228
MASC, NA, NA (NA), NA (NA), NA, Var*, Var*, NA, NA, NA, NA, NA, NA, E, 232
One-Shot (SRM, LRM), NA, NA, NA, OS, +0.5, NA, NA, NA, NA, NA, NA, **, 229
Narc Missile Beacon, 0 (**), **, 0/3/6/9, (**) 6, 3, 2, NA, 1, 2, 1, 1, 1, E, 232
Imp. Narc Launcher, 0 (**), **, 0/4/9/15, (**) 4, 5, 3, NA, 1, 3, 1, 1, 1, E, 232
TAG, 0 (0), **, 0/5/9/15, (**) NA, 1, 1, NA, 1, 1, 1, 1, 1, E, 238
Targeting Computer, 0 (0), ** NA, (NA), NA, Var*, Var*, NA, 1, Var*, 0, NA, NA, E, 238
Hatchet, 0 (NA), ** (NA), PHYS (NA), NA, Var*, Var*, NA, NA, NA, NA, NA, NA, B, 220
Sword, 0 (NA), ** (NA), PHYS (NA), NA, Var*, Var*, NA, NA, NA, NA, NA, NA, B, 237
Killer Whale, NA (20), NA (40), NA (Extreme), 50 t/Msl, 150, NA, NA, NA, NA, NA, NA, 1, F, 210
White Shark, NA (15), NA (30), NA (Extreme), 40 t/Msl, 120, NA, NA, NA, NA, NA, NA, 1, F, 210
Barracuda, NA (10), NA (20), NA (Extreme), 30 t/Msl, 90, NA, NA, NA, NA, NA, NA, 1, F, 210
AR-10 Launcher, NA (††), NA (††), NA (††), †† 250, NA, NA, NA, NA, NA, NA, 1, F, 210
Kraken-T, NA (50), NA (100), NA (Extreme), 100 t/Msl, 220, NA, NA, NA, NA, NA, NA, 1, F, 210
Killer Whale-T, NA (20), NA (40), NA (Extreme), 50 t/Msl, 160, NA, NA, NA, NA, NA, NA, 1, F, 210
White Shark-T, NA (15), NA (30), NA (Extreme), 40 t/Msl, 140, NA, NA, NA, NA, NA, NA, 1, F, 210
Barracuda-T, NA (10), NA (20), NA (Extreme), 30 t/Msl, 100, NA, NA, NA, NA, NA, NA, 1, F, 210
Screen Launcher, NA (10), NA (**), NA (Short), 10 t/Msl, 40, NA, NA, NA, NA, NA, 1, 1, F, 237
